session,score,reason,passed
82 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information with the original text, such as mentioning 'Sosyal Ağ Sağlayıcısı Düzenlemesi' which is not present in the original text, and implying a more dynamic process than described, while also adding extra information not mentioned in the original text about TBMM's 82nd Session and discussions between government officials and parliamentarians.",False
81 . Birleşim,0.45454545454545453,"The score is 0.45 because the summarization task has some issues with accuracy and completeness. The summary contains contradicting information about the discussion of the 263 sıra sayılı Kanun Teklifi, which was ongoing according to the original text but not mentioned as being absent in the commission. Additionally, the summary mentions extra information not present in the original text, such as the meeting being held in Türkiye Büyük Millet Meclisinin (TBMM) and the second item on the agenda being the 250 sıra sayılı Kanun Teklifi. Furthermore, the summary does not answer a question that the original text can answer, which is whether it contains any information not present in the transcript.",True
80 . Birleşim,,Number of verdicts generated does not equal.,False
79 . Birleşim,0.0,"The score is 0.00 because the summary contains contradicting information (it mentions kanun teklifleri which is not mentioned in the original text) and extra information not present in the original text, indicating a complete lack of accuracy.",False
78 . Birleşim,0.0,"The score is 0.00 because the summary directly contradicts the original text on multiple points, indicating a complete lack of accuracy and relevance.",False
77 . Birleşim,0.4,"The score is 0.40 because the summarization task has some issues with accuracy and completeness. The original text states that two discussions were postponed, but the summary does not mention this crucial information. Additionally, the extra information provided in the summary is not mentioned in the original text at all, which suggests a lack of attention to detail. However, it's worth noting that the summarization task did manage to capture some key points from the original text, even if they were not entirely accurate or comprehensive.",True
76 . Birleşim,0.5,"The score is 0.50 because the summary contains contradictory information regarding the discussion of law proposals, indicating a lack of accuracy. Additionally, it includes extra information about the importance of summarizing parliamentary session minutes, which is not mentioned in the original text.",True
75 . Birleşim,0.4,"The score is 0.40 because the summary contains contradicting information (meeting date) and extra information not mentioned in the original text, indicating a moderate level of accuracy.",True
74 . Birleşim,0.42857142857142855,"The score is 0.43 because the summary contains contradictory information regarding the session name, which may indicate some inaccuracy. Additionally, the summary includes extra information not present in the original text, such as the parliament document being an alıntı (quote) and the content of the document, which suggests a lack of precision in summarization.",True
73 . Birleşim,0.3333333333333333,"The score is 0.33 because the summary contains contradictory information (names and parties of attendees) and extra information (number of sessions) not present in the original text, indicating a moderate level of accuracy.",True
72 . Birleşim,0.16666666666666666,"The score is 0.17 because the summary contains significant contradictions with the original text, including incorrect statements about who opened and closed the meeting, as well as an unspecified date for closure. Additionally, the summary includes extra information not mentioned in the original text, such as the agenda and history of the Turkish Grand National Assembly, which suggests a lack of fidelity to the source material.",False
