index,score,reason,passed
0,0.47,"The text is a summary of the proceedings of the Turkish Parliament's 82nd session, specifically the sixth meeting. It includes discussions on various bills and laws, including the Social Assistance Data Bank Law and the Social Network Provider Regulation. The text provides information on the debates and discussions between government officials and parliamentarians during this meeting.",True
1,0.02,"The text is a summary of the proceedings of the Turkish Parliament's 81st session, specifically the sixth meeting. It mentions various topics discussed by members of parliament, including a law proposal, tax issues, and environmental concerns.",False
2,0.09,"The action item description is unclear and not specific. The assignee of the action item is also missing, which matches a real speaker from the transcript.",False
3,0.47,"Konuşma metni, milletvekillerinin kanun teklifleri ve diğer işlerle ilgilidir.",True
4,0.55,"The text is a transcript of a parliamentary session, discussing various topics such as maternity leave regulations, protecting the rights of merchants, and creating safe environments for children.",True
5,0.53,"The provided text is a summary of the Turkish Parliament's (TBMM) 25th session on March 25, 2026. It includes information about various bills being discussed and voted on during the session.",True
6,0.58,"Bu metin, Türkiye Büyük Millet Meclisinin (TBMM) bir oturumunun tutanakçesidir. Metinde, TBMM'nin sekizinci oturumu ile ilgilidir ve 21 Mart 2026'da gerçekleşen bu oturumda, çeşitli kanun tekliflerinin görüşülmesinden bahseden bölümü içermektedir.",True
7,0.14,"Bu metin, Türkiye Büyük Millet Meclisi'nin iç işleyişini ve çalışma düzenini açıklamaktadır.",False
8,0.03,Parlamentonun tutanağından alıntıdır ve Türkiye Büyük Millet Meclisinin 74'üncü Birleþiminin Dördüncü Oturumunu içermektedir.,False
9,0.21,"The text is a summary of the proceedings of the Turkish Grand National Assembly (TBMM) in its 73rd session, specifically the sixth meeting. It includes discussions on the 259th numbered law proposal and various other matters.",False
10,0.55,"The provided text is a summary of the proceedings of the Turkish Parliament's 72nd Assembly, Third Session. It includes the opening speech by the Chairman of the TBMM and the subsequent events that took place during the session.",True
11,0.16,"TBMM oturumunun dökümü, kumpas davaları, hakaretçilik ve kanun teklifleri gibi konuları içermektedir.",False
12,0.22,"The provided text is a transcript of a parliamentary session in Turkey, discussing various laws and amendments. The main topic of the session is the Tapu Kanunu ile Bazý Kanunlarda ve 375 Sayýlý Kanun Hükmünde Kararnamede Deðiþiklik Yapýlmasýna Dair Kanun Teklifinin (Law Proposal for Amendments to the Tapu Law, Certain Laws and the 375th Law Decree) discussion. The session starts with a speech by the Speaker of the Parliament, followed by discussions on various laws and amendments. The main points discussed include the Tapu Kanunu ile Bazý Kanunlarda ve 375 Sayýlý Kanun Hükmünde Kararnamede Deðiþiklik Yapýlmasýna Dair Kanun Teklifinin (Law Proposal for Amendments to the Tapu Law, Certain Laws and the 375th Law Decree), which is a law proposal that aims to make amendments to the Tapu Law, certain laws, and the 375th Law Decree. The session also discusses other laws and amendments, including the Kolluk Ýþ Birliði Mutabakat Muhtýrasýnýn Notalarla Birlikte Onaylanmasýnýn Uygun Bulunduðuna Dair Kanun Teklifinin (Law Proposal for the Approval of the Agreement on Police Cooperation between Turkey and Libya). The session ends with a vote on the Tapu Kanunu ile Bazý Kanunlarda ve 375 Sayýlý Kanun Hükmünde Kararnamede Deðiþiklik Yapýlmasýna Dair Kanun Teklifinin (Law Proposal for Amendments to the Tapu Law, Certain Laws and the 375th Law Decree), which is approved by a majority of votes.",False
13,0.5,"The text is a transcript of the Turkish Parliament's (TBMM) Dördüncü Oturumu, where members discuss the impact of the US-Israel-Iran war on Turkey and the region. The conversation includes statements from various politicians, including the President of the TBMM, who announces that the meeting will be closed after discussing the agenda items.",True
14,0.5,"Tutanak metninin Türkçe olarak verilmesi gerektiği için, bu metin Türkçeleştirildi.",True
15,0.49,"The text is a summary of the parliamentary proceedings in Turkey, specifically discussing a bill related to protected areas and environmental conservation.",True
16,0.41,"The output is a summary of the parliamentary proceedings, including the discussion on a bill related to disaster management and the establishment of a new ministry. The text includes quotes from the speakers and a brief description of the bill's content.",True
17,0.42,"The conversation is about a law proposal in the Turkish Parliament, discussing the OECD Istanbul Center and its importance for Turkey's economic vision.",True
18,0.41,"Konuşma metnine göre, Türkiye Büyük Millet Meclisi Komisyonu tarafından önerilen değişiklikler tartışıldı ve oylanarak onaylandı. Değişiklikler, Doða Koruma ve Milli Parklar Kanunu ile ilgiliydi ve daha katılımcı, şeffaf ve sürdürülebilir bir yönetişim modelini amaçlıyordu.",True
19,0.53,"The text describes a meeting of the Turkish Parliament, discussing a bill related to national parks and climate change.",True
20,0.09,"The provided text is a summary of the proceedings of the Turkish Grand National Assembly, including discussions on various laws and proposals.",False
21,0.5,"The text is a summary of the proceedings of the Turkish Grand National Assembly (TBMM) on February 18, 2026.",True
22,0.58,"The output is a detailed report of the Turkish Parliament's 7th session, including speeches by members of parliament and voting results. The report covers various topics such as traffic safety, labor laws, and environmental protection.",True
23,0.45,"The text is a detailed account of the proceedings of the Turkish Grand National Assembly (TBMM) 59th Session, including the dates, times, and presiding officers of various sessions.",True
24,0.48,"The text is a transcript of a parliamentary session in Turkey, where two members of parliament, Mehmet Salih Ünal and Selçuk Özdağ, are discussing the issue of naming lists for citizens who lost their lives in earthquakes.",True
25,0.22,"Bu konuşma, Türkiye Büyük Millet Meclisinin (TBMM) bir genel kurul toplantısında yapılan açıklamalardır. Konuşulan konular: 1. **6 Şubat Depreminin 3. Yıldönümü:** Vefat edenlerin anısına dua eden milletvekilleri ve TBMM'nin ilgili bakanlıkların çabalarına destek olduğunu ifade ettiler. 2. **Hukuksuz Tutuklamalar:** Kars Milletvekili Gülüstan Kılıç Koçyiğit, Mersin Milletvekili Ali Mahir Başarır tarafından Ezilenlerin Sosyalist Partisi (ESP) üyeleri gözaltına alınıp tutuklanmasına karşı tepki gösterildi. Milletvekilleri hukuksuz ve keyfi gözaltılar nedeniyle ESP'li tüm tutsakların derhal serbest bırakılması gerektiğini belirttiler. 3. **Demokrasi Mücadelesi:** Tutuklamaların demokrasi mücadelesini gerilettiğini ve temel hakları gasp ettiğini vurgulayan milletvekilleri, bu keyfî tutuklamaların sona erdirilmesini talep ettiler. 4. **Yargı Paketi:** Yargı paketinin komisyonda görüşülerek özgürlükleri koruyan hükümlerin getirilmesi gerektiğini belirten milletvekilleri, yargının keyfî işlem yapmamalıdır. 5. **Deprem Konusundaki Konuşmalar:** Antalya Milletvekili Uğur Poyraz tarafından depremin 3. yıldönümünde yapılan konuşmalara ve depremi konu eden diğer açıklamalara değinildi. Milletvekilleri, bu gibi konularda vicdanlara ve ilgili bakanlıklara bir karşılık arzu etmekteydi.",False
26,0.45,"The output is a detailed summary of the parliamentary proceedings, including the discussion on the Kahramanmaraş earthquake and the proposed law to provide financial aid to those affected. The output also includes the adoption of a Danışma Kurulu (Consultative Council) proposal and the closure of the session.",True
27,0.42,"The output is a detailed summary of the Turkish Parliament's (TBMM) 7th session, including speeches, votes, and procedural matters. The text includes quotes from various speakers, including Osman Çengiz Çandar, who criticized the government for its handling of certain issues. The output also mentions the use of electronic devices to conduct a vote, which was unsuccessful due to insufficient quorum. Finally, the session is adjourned until February 4, 2026.",True
28,0.46,"The extracted action item's description is not specific and achievable, as it only mentions reconvening a meeting without providing any details. Additionally, the assignee of the action item is null, indicating that it was not properly assigned to a real speaker from the transcript.",True
29,0.43,"The action item description is unclear and not specific, as it only mentions 'continuing parliamentary work' without specifying what needs to be done. Additionally, the assignee is missing.",True
30,0.27,"The action items are not compared to the original meeting transcript, and the assignee of each action item does not match real speakers from the transcript. The extracted action items also lack important details mentioned in the transcript.",False
31,0.56,"The action items are not thoroughly compared to the original meeting transcript, as only one action item is extracted. The assignee of the action item is also missing, which does not match real speakers from the transcript.",True
32,0.53,"The provided text is a summary of the proceedings of the Turkish Parliament's 50th session, specifically the 7th meeting. It includes discussions on various bills and reports from committees.",True
33,0.25,"The output is a summary of the Turkish Parliament's (TBMM) 49th session's 7th meeting, including the discussion on the 248 numbered law proposal and the decision to adjourn until January 22, 2026.",False
34,0.23,"The text is a transcription of a parliamentary session where two politicians, Bülent Kaya and Sadullah Kişlali, discuss and criticize the creation of the Turkey Wealth Fund.",False
35,0.05,"The provided text is a transcript of the 47th session of the Turkish Grand National Assembly's 12th meeting, discussing various laws and proposals.",False
36,0.58,"The provided text is a detailed description of the proceedings of the Turkish Parliament's Eighth Session, which focused on energy production and independence. The session included speeches from various members of parliament, discussing plans to increase energy independence through the integration of solar and nuclear power plants. The text also mentions the importance of public-private sector cooperation in achieving this goal.",True
37,0.51,"The provided text is a part of the Turkish Parliament's ninth session records, specifically focusing on the voting process for the 7th article. The text includes a list of members present during the vote and a group of members standing up to request a recount.",True
38,0.23,"The text is a summary of the proceedings of the Turkish Grand National Assembly (TBMM) on October 15, 2025.",False
